"drug","est","lo","hi","truth","method","rep","err","covered"
"drug_07",-0.276379164284284,-0.754584639584996,0.201826311016428,0.359560752001401,"meta_ran",122,-0.635939916285685,FALSE
"drug_08",0.501107590552756,0.0529857210201768,0.949229460085336,0.962240784917482,"meta_ran",122,-0.461133194364726,FALSE
"drug_09",0.539197533044476,0.371570667151098,0.706824398937854,1.28923818396166,"meta_ran",122,-0.750040650917182,FALSE
"drug_10",-0.384971020896103,-0.596192712654848,-0.173749329137357,-0.0202268729972297,"meta_ran",122,-0.364744147898873,FALSE
"drug_11",0.410482271409922,0.121908591857273,0.699055950962571,0.752468697926046,"meta_ran",122,-0.341986426516123,FALSE
"drug_12",-0.0254669461613316,-0.395118583775741,0.344184691453078,0.276636614124021,"meta_ran",122,-0.302103560285353,TRUE
"drug_13",-0.438668475634273,-0.800625166680113,-0.0767117845884328,0.172156751033924,"meta_ran",122,-0.610825226668197,FALSE
"drug_14",-0.490417590826294,-0.788291643104919,-0.192543538547669,0.00832995098767841,"meta_ran",122,-0.498747541813973,FALSE
"drug_15",0.495402246053081,0.13905187357104,0.851752618535122,1.04337524441021,"meta_ran",122,-0.54797299835713,FALSE
"drug_16",-1.01873250952209,-1.58228397239603,-0.455181046648138,-0.0502344506974793,"meta_ran",122,-0.968498058824606,FALSE
"drug_17",1.56063736633415,1.26367558370897,1.85759914895933,1.72427860597556,"meta_ran",122,-0.163641239641412,TRUE
"drug_18",-0.845269447700469,-1.75983741178707,0.0692985163861281,0.195667367401906,"meta_ran",122,-1.04093681510238,FALSE
"drug_19",0.109685288205296,-0.287606840105242,0.506977416515835,0.418223701418589,"meta_ran",122,-0.308538413213293,TRUE
"drug_20",0.258843247944643,-0.187531579865066,0.705218075754351,0.898608989298237,"meta_ran",122,-0.639765741353594,FALSE
"drug_21",-0.805461379654217,-1.49130513638999,-0.119617622918439,-0.132658830967901,"meta_ran",122,-0.672802548686316,TRUE
"drug_22",-0.597658821932497,-0.745520801736763,-0.449796842128231,0.151938388052563,"meta_ran",122,-0.74959720998506,FALSE
"drug_23",-0.792745534929887,-1.54400115542973,-0.0414899144300466,-0.0585696653345014,"meta_ran",122,-0.734175869595386,TRUE
"drug_24",-0.610535512973631,-1.1194537071164,-0.101617318830866,-0.088767498792553,"meta_ran",122,-0.521768014181078,FALSE
"drug_25",0.457908565985941,0.107273040153519,0.808544091818364,0.750229755845908,"meta_ran",122,-0.292321189859967,TRUE
"drug_01",0,0,0,0,"surface",122,0,TRUE
"drug_02",0.669960662694963,0.594070725296471,0.745850600093456,0.749404756567263,"surface",122,-0.0794440938722994,FALSE
"drug_03",0.534165608973532,0.471830055661628,0.596501162285437,0.541256677282631,"surface",122,-0.00709106830909856,TRUE
"drug_04",1.34660003185299,1.28305920919064,1.41014085451535,1.35359996989976,"surface",122,-0.00699993804676979,TRUE
"drug_05",0.324840518625381,0.260357288237047,0.389323749013716,0.349139026386535,"surface",122,-0.0242985077611534,TRUE
"drug_06",0.916633111626876,0.848980666350987,0.984285556902766,0.95620188851539,"surface",122,-0.0395687768885138,TRUE
"drug_07",0.355024670223456,0.289708025062057,0.420341315384855,0.359560752001401,"surface",122,-0.00453608177794462,TRUE
"drug_08",0.942571680034505,0.87754520320356,1.00759815686545,0.962240784917482,"surface",122,-0.0196691048829768,TRUE
"drug_09",1.2083530972057,1.12868069022172,1.28802550418969,1.28923818396166,"surface",122,-0.0808850867559547,FALSE
"drug_10",-0.00619635393825124,-0.0715367279828238,0.0591440201063213,-0.0202268729972297,"surface",122,0.0140305190589785,TRUE
"drug_11",0.717672598123101,0.655084417400769,0.780260778845433,0.752468697926046,"surface",122,-0.0347960998029447,TRUE
"drug_12",0.244558168339347,0.172502523711997,0.316613812966697,0.276636614124021,"surface",122,-0.0320784457846744,TRUE
"drug_13",0.0958355352974756,0.0177470411259225,0.173924029469029,0.172156751033924,"surface",122,-0.0763212157364487,TRUE
"drug_14",-0.0461150316893542,-0.113281773363339,0.0210517099846305,0.00832995098767841,"surface",122,-0.0544449826770326,TRUE
"drug_15",1.01932281494814,0.942403303160109,1.09624232673618,1.04337524441021,"surface",122,-0.024052429462069,TRUE
"drug_16",-0.0677426394373473,-0.138567495431719,0.00308221655702459,-0.0502344506974793,"surface",122,-0.0175081887398679,TRUE
"drug_17",1.71480658578839,1.64376410780379,1.78584906377299,1.72427860597556,"surface",122,-0.00947202018717008,TRUE
"drug_18",0.102073347892434,0.0310771768434719,0.173069518941397,0.195667367401906,"surface",122,-0.0935940195094717,FALSE
"drug_19",0.373917613507442,0.297003626846463,0.45083160016842,0.418223701418589,"surface",122,-0.0443060879111474,TRUE
"drug_20",0.905706850348925,0.838770393054753,0.972643307643097,0.898608989298237,"surface",122,0.00709786105068821,TRUE
"drug_21",-0.198599160085556,-0.27408955205223,-0.123108768118882,-0.132658830967901,"surface",122,-0.065940329117655,TRUE
"drug_22",0.158768220435385,0.0789954725402531,0.238540968330517,0.151938388052563,"surface",122,0.00682983238282203,TRUE
"drug_23",-0.127980304827212,-0.198755971626358,-0.0572046380280658,-0.0585696653345014,"surface",122,-0.0694106394927105,TRUE
"drug_24",-0.203839603585452,-0.282011932459802,-0.125667274711102,-0.088767498792553,"surface",122,-0.115072104792899,FALSE
"drug_25",0.744344993080167,0.673715839981543,0.81497414617879,0.750229755845908,"surface",122,-0.00588476276574157,TRUE
"drug_01",0.0496981396271999,-0.128080711947422,0.292447300414646,0,"boot_hr",123,0.0496981396271999,TRUE
"drug_02",0.286324515526812,0.124069308485677,0.405986952936322,0.160949052214329,"boot_hr",123,0.125375463312482,TRUE
"drug_03",-0.00305875558114747,-0.280996100906008,0.146299150342387,0.0941267556681588,"boot_hr",123,-0.0971855112493063,TRUE
"drug_04",-0.692380636663672,-1.07332596442029,-0.346932540884723,-0.64628144849493,"boot_hr",123,-0.0460991881687424,TRUE
"drug_05",0.601840365887832,0.341193478248405,0.806157751116278,0.271284415763161,"boot_hr",123,0.330555950124671,FALSE
"drug_06",0.0444067458955996,-0.192716767300458,0.209566649119534,-0.204123272393656,"boot_hr",123,0.248530018289256,FALSE
"drug_07",0.039549358517882,-0.130938746392393,0.196471595301051,-0.297785432133881,"boot_hr",123,0.337334790651763,FALSE
"drug_08",0.457041117233326,0.0555646693034061,0.749972885300797,0.096311275651718,"boot_hr",123,0.360729841581608,TRUE
"drug_09",-0.059605921654093,-0.48808809732926,0.290022060120752,-0.133237342184102,"boot_hr",123,0.0736314205300092,TRUE
"drug_10",-0.470233323447255,-0.971263984250111,-0.0969603417545426,-0.739371453865512,"boot_hr",123,0.269138130418257,TRUE
"drug_11",-0.0256773976265441,-0.21899606147003,0.124689379231084,-0.156954778642636,"boot_hr",123,0.131277381016092,TRUE
"drug_12",-0.324704985809878,-0.623616162496232,0.00862370195869914,-0.351432966273938,"boot_hr",123,0.0267279804640606,TRUE
"drug_13",-0.0216654445400498,-0.559319594824457,0.314844623311567,-0.259509686649448,"boot_hr",123,0.237844242109398,TRUE
"drug_14",0.519671792900906,0.160615063109475,0.745728222458686,0.0373988810765551,"boot_hr",123,0.482272911824351,FALSE
"drug_15",-0.181850614252573,-0.351087405685054,-0.0204290730020289,-0.559132637654874,"boot_hr",123,0.377282023402301,FALSE
"drug_16",-0.206227896438463,-0.41739351325699,-0.0101813752921563,-0.350475861400543,"boot_hr",123,0.144247964962079,TRUE
"drug_17",-0.395646688940805,-0.648823046256842,-0.169283452791099,-0.74447135385146,"boot_hr",123,0.348824664910655,FALSE
"drug_18",0.679771453133352,0.382387489930769,1.01052550884328,0.48362013782291,"boot_hr",123,0.196151315310441,TRUE
"drug_19",-0.389193740595673,-0.79303058680347,-0.078388268079195,-0.768833140881273,"boot_hr",123,0.3796394002856,TRUE
"drug_20",-0.23939367882104,-0.445376525977984,-0.0343895474882014,-0.605787920308041,"boot_hr",123,0.366394241487001,FALSE
"drug_21",0.157762508764737,-0.0645056638086933,0.306303956609499,-0.404829919692715,"boot_hr",123,0.562592428457451,FALSE
"drug_22",0.200704999666268,-0.370964068444005,0.562160868894473,-0.0349171796520593,"boot_hr",123,0.235622179318328,TRUE
"drug_23",-0.115969524941147,-0.414976901250934,0.131567528925292,-0.393820547527647,"boot_hr",123,0.2778510225865,TRUE
"drug_24",0.400541814984837,0.152255836037957,0.61430237004699,0.104866504016576,"boot_hr",123,0.29567531096826,FALSE
"drug_25",-0.0178629161007044,-0.354210699811344,0.34158774367131,-0.145811949242259,"boot_hr",123,0.127949033141555,TRUE
"drug_01",0.0180317559464914,-0.136462184062582,0.265064505704478,0,"boot_log",123,0.0180317559464914,TRUE
"drug_02",0.273810609843051,0.108386973612404,0.405986934807522,0.160949052214329,"boot_log",123,0.112861557628722,TRUE
"drug_03",-0.01978151875342,-0.280996100906008,0.146299150342387,0.0941267556681588,"boot_log",123,-0.113908274421579,TRUE
"drug_04",-0.793773187509191,-1.11561422445204,-0.458944329297604,-0.64628144849493,"boot_log",123,-0.147491739014261,TRUE
"drug_05",0.499104229742314,0.23573687099275,0.751749348244676,0.271284415763161,"boot_log",123,0.227819813979153,TRUE
"drug_06",0.0141319644285461,-0.205909758180694,0.194344165725368,-0.204123272393656,"boot_log",123,0.218255236822203,TRUE
"drug_07",0.00681431552952677,-0.175342574785367,0.177964491938687,-0.297785432133881,"boot_log",123,0.304599747663407,FALSE
"drug_08",0.376188690807435,0.0454731609345372,0.691684723781967,0.096311275651718,"boot_log",123,0.279877415155718,TRUE
"drug_09",-0.145262297304371,-0.503546832523895,0.244149151826439,-0.133237342184102,"boot_log",123,-0.0120249551202686,TRUE
"drug_10",-0.601076711983668,-0.995932013201642,-0.197913750650162,-0.739371453865512,"boot_log",123,0.138294741881844,TRUE
"drug_11",-0.0527974902209639,-0.231823718185795,0.114296601535534,-0.156954778642636,"boot_log",123,0.104157288421672,TRUE
"drug_12",-0.379564498323988,-0.623768459853308,-0.0382649184194562,-0.351432966273938,"boot_log",123,-0.0281315320500503,TRUE
"drug_13",-0.113658689149377,-0.636026149993306,0.301022325860396,-0.259509686649448,"boot_log",123,0.145850997500071,TRUE
"drug_14",0.45161159980551,0.122202200300444,0.740710055066227,0.0373988810765551,"boot_log",123,0.414212718728954,FALSE
"drug_15",-0.209913132145434,-0.373111454658461,-0.047765293001271,-0.559132637654874,"boot_log",123,0.34921950550944,FALSE
"drug_16",-0.246321112340029,-0.43582114690864,-0.0386208707716333,-0.350475861400543,"boot_log",123,0.104154749060513,TRUE
"drug_17",-0.449810446872527,-0.663542767422266,-0.189145640487433,-0.74447135385146,"boot_log",123,0.294660906978932,FALSE
"drug_18",0.608265944761804,0.375782071205423,0.929217502455122,0.48362013782291,"boot_log",123,0.124645806938893,TRUE
"drug_19",-0.478917586335441,-0.880321321176524,-0.11572156363518,-0.768833140881273,"boot_log",123,0.289915554545832,TRUE
"drug_20",-0.265167738854747,-0.449365291155807,-0.0521523754296238,-0.605787920308041,"boot_log",123,0.340620181453294,FALSE
"drug_21",0.11073292853327,-0.142723854960693,0.287922031654465,-0.404829919692715,"boot_log",123,0.515562848225985,FALSE
"drug_22",0.095598400225234,-0.370964068444005,0.562160868894473,-0.0349171796520593,"boot_log",123,0.130515579877293,TRUE
"drug_23",-0.186128740971212,-0.456512828351462,0.100382074011007,-0.393820547527647,"boot_log",123,0.207691806556435,TRUE
"drug_24",0.352462029611255,0.130842945450444,0.588393635168164,0.104866504016576,"boot_log",123,0.247595525594678,FALSE
"drug_25",-0.104693803584059,-0.364571781619766,0.238741419090147,-0.145811949242259,"boot_log",123,0.0411181456582003,TRUE
"drug_01",0.0288148184915156,-0.0360228764245828,0.093652513407614,0,"meta_fix",123,0.0288148184915156,TRUE
"drug_02",0.299878414181887,0.210041016265628,0.389715812098146,0.160949052214329,"meta_fix",123,0.138929361967557,FALSE
"drug_03",-0.124324419501714,-0.207038100709104,-0.0416107382943239,0.0941267556681588,"meta_fix",123,-0.218451175169873,FALSE
"drug_04",-0.734273831410755,-0.789688065072777,-0.678859597748734,-0.64628144849493,"meta_fix",123,-0.0879923829158257,FALSE
"drug_05",0.425263911602914,0.373890065199103,0.476637758006725,0.271284415763161,"meta_fix",123,0.153979495839753,FALSE
"drug_06",-0.047630917741541,-0.109781367719171,0.0145195322360893,-0.204123272393656,"meta_fix",123,0.156492354652115,FALSE
"drug_07",0.0924495735970858,0.0344632390669831,0.150435908127188,-0.297785432133881,"meta_fix",123,0.390235005730966,FALSE
"drug_08",0.186709965227472,0.118992285583677,0.254427644871267,0.096311275651718,"meta_fix",123,0.090398689575754,FALSE
